"row","Codigo","Subject","Group","Sex","Block.Order","Block","Running","TrialNumb","TipoEva","soundtrack","Duration","Title","Happiness","Anger","Fear","Tenderness","Sad","Preference","Familiarity","Track360","Track110","Target","Emotion","Level","PosNeg","Valence","Energy","Tension"
"1","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","1","EnsayoEC","125.mp3",15,"The Alien Trilogy",1,7,1,1,1,7,1,125,3,"ANGER_HIGH","Anger","High","Negative",NA,NA,NA
"2","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","2","EnsayoEC","246.mp3",24,"Oliver Twist",8,3,1,1,1,8,1,246,27,"HAPPY_MODERATE","Happy","Moderate","Positive",NA,NA,NA
"3","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","3","EnsayoEC","239.mp3",20,"The Fifth Element",1,8,2,1,2,9,1,239,5,"ANGER_HIGH","Anger","High","Negative",NA,NA,NA
"4","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","4","EnsayoEC","003.mp3",18,"The Rainmaker",6,1,1,3,1,4,1,3,21,"HAPPY_HIGH","Happy","High","Positive",NA,NA,NA
"5","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","5","EnsayoEC","173.mp3",14,"Running Scared",1,1,3,1,1,1,0,173,16,"FEAR_MODERATE","Fear","Moderate","Negative",NA,NA,NA
"6","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","6","EnsayoEC","001.mp3",15,"Shallow Grave",7,1,1,1,1,8,2,1,23,"HAPPY_HIGH","Happy","High","Positive",NA,NA,NA
"7","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","7","EnsayoEC","168.mp3",15,"Cape Fear",1,7,2,1,3,8,1,168,4,"ANGER_HIGH","Anger","High","Negative",NA,NA,NA
"8","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","8","EnsayoEC","288.mp3",22,"The Portait of a Lady",1,1,1,7,8,7,1,288,33,"SAD_HIGH","Sad","High","Negative",NA,NA,NA
"9","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","9","EnsayoEC","054.mp3",18,"Shakespeare In Love",4,1,1,7,7,7,1,54,39,"SAD_MODERATE","Sad","Moderate","Negative",NA,NA,NA
"10","E11101",1,1,"Hombre",5,"Block1","EnsayosS1B1","10","EnsayoEC","295.mp3",16,"Blanc",1,1,6,1,3,6,1,295,84,"ENERGY NEG MODERATE","EnergyNeg","Moderate","Negative",NA,NA,NA
"11","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","1","EnsayoEC","316.mp3",15,"Batman Returns",1,7,3,1,1,6,1,316,7,"ANGER_MODERATE","Anger","Moderate","Negative",NA,NA,NA
"12","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","2","EnsayoEC","114.mp3",27,"Man of Galilee CD1",2,5,2,1,2,7,0,114,8,"ANGER_MODERATE","Anger","Moderate","Negative",NA,NA,NA
"13","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","3","EnsayoEC","299.mp3",16,"Oliver Twist",1,1,1,6,2,4,0,299,45,"TENDER_HIGH","Tender","High","Positive",NA,NA,NA
"14","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","4","EnsayoEC","320.mp3",17,"JFK",1,2,5,1,1,4,0,320,13,"FEAR_HIGH","Fear","High","Negative",NA,NA,NA
"15","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","5","EnsayoEC","062.mp3",20,"Shine",1,1,1,7,3,5,1,62,41,"TENDER_HIGH","Tender","High","Positive",NA,NA,NA
"16","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","6","EnsayoEC","162.mp3",17,"Man of Galilee CD1",3,6,1,1,1,5,1,162,20,"FEAR_MODERATE","Fear","Moderate","Negative",NA,NA,NA
"17","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","7","EnsayoEC","334.mp3",17,"Dances with Wolves",4,1,1,7,2,5,1,334,43,"TENDER_HIGH","Tender","High","Positive",NA,NA,NA
"18","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","8","EnsayoEC","280.mp3",15,"Blanc",1,1,6,1,7,8,1,280,89,"ENERGY NEG HIGH","EnergyNeg","High","Negative",NA,NA,NA
"19","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","9","EnsayoEC","266.mp3",14,"JFK",1,1,6,1,1,3,0,266,12,"FEAR_HIGH","Fear","High","Negative",NA,NA,NA
"20","E11101",1,1,"Hombre",3,"Block2","EnsayosS1B2","10","EnsayoEC","331.mp3",14,"Pride & Prejudice",1,1,1,7,3,5,0,331,44,"TENDER_HIGH","Tender","High","Positive",NA,NA,NA
"21","E11101",1,1,"Hombre",4,"Block3","EnsayosS1B3","1","EnsayoEC","157.mp3",15,"The Alien Trilogy",1,6,6,1,1,4,0,157,14,"FEAR_HIGH","Fear","High","Negative",NA,NA,NA
"22","E11101",1,1,"Hombre",4,"Block3","EnsayosS1B3","2","EnsayoEC","021.mp3",13,"Gladiator",6,1,1,1,1,2,0,21,53,"VALENCE POS HIGH","ValencePos","High","Positive",NA,NA,NA
"23","E11101",1,1,"Hombre",4,"Block3","EnsayosS1B3","3","EnsayoEC","297.mp3",14,"Batman",1,1,2,3,6,6,1,297,37,"SAD_MODERATE","Sad","Moderate","Negative",NA,NA,NA
"24","E11101",1,1,"Hombre",4,"Block3","EnsayosS1B3","4","EnsayoEC","187.mp3",18,"Juha",7,1,1,7,1,7,1,187,51,"VALENCE POS HIGH","ValencePos","High","Positive",NA,NA,NA
"25","E11101",1,1,"Hombre",4,"Block3","EnsayosS1B3","5","EnsayoEC","274.mp3",20,"Angel Heart",1,1,3,1,1,1,0,274,36,"SAD_MODERATE","Sad","Moderate","Negative",NA,NA,NA
